b.bbl,b.address,comp-1,comp-2,comp-3,node,o.name
1009080006,203 EAST 27 STREET  NYC NY 10016,1.8401569e-06,3.4421078e-06,-3.926383e-07,property,
1005040039,,1.1172757e-06,1.9799852e-06,3.2736655e-06,property,
1009691354,415 EAST 37 STREET 36J NYC NY 10016,1.1292843e-06,5.44778e-07,-9.359295e-07,property,
1018150001,,-6.789748e-06,-5.7521413e-07,5.874702e-06,property,
1009390036,591 1 AVENUE  NYC NY 10016,1.2257342e-06,4.563189e-06,1.0627073e-06,property,
1008627502,,1.5900323e-06,3.8758836e-07,8.905329e-08,property,
1008631165,172 MADISON AVENUE 25B NYC NY 10016,1.3237033e-06,-1.8067127e-05,-2.9866032e-06,property,
1009401003,333 EAST 34 STREET 1E NYC NY 10016,1.0223991e-06,3.033239e-06,4.0013754e-07,property,
1009681169,630 1 AVENUE 15F NYC NY 10016,1.134928e-06,-9.752519e-07,1.9715592e-06,property,
1009151216,225 EAST 34 STREET 5B NYC NY 10016,1.47659e-06,-2.2217853e-07,3.2986418e-07,property,
1009181017,240 EAST 38 STREET 3U NYC NY 10016,8.326916e-07,3.7872924e-06,1.3608635e-06,property,
1008290011,45 WEST 27 STREET  NYC NY 10001,1.2061321e-06,1.4751151e-08,2.8733751e-08,property,
1002340009,,1.0077033e-06,-4.1626634e-05,-1.464889e-06,property,
1009681322,630 1 AVENUE 24R NYC NY 10016,1.0327079e-06,1.2845062e-06,-1.0742497e-06,property,
1008067501,143 WEST 30 STREET  NYC NY 10001,9.531843e-07,3.2004073e-07,-6.722793e-06,property,
1006970042,,1.260656e-06,3.0532249e-06,-4.563682e-07,property,
1009121210,200 EAST 32 STREET 7D NYC NY 10016,1.0648627e-06,1.530327e-06,-6.9661332e-06,property,
1003860007,,1.0311206e-06,2.3202226e-06,1.049714e-06,property,
1013141119,235 EAST 40 STREET 14I NYC NY 10016,1.0754289e-06,3.008593e-06,-3.3309223e-07,property,
1020250014,,1.2785283e-06,2.9361677e-06,1.4656098e-06,property,
1008629001,319 5 AVENUE  NYC NY 10016,1.1881036e-06,2.6645457e-06,2.0091734e-06,property,
1013141030,235 EAST 40 STREET 4I NYC NY 10016,8.8167593e-07,-7.19293e-06,1.654751e-06,property,
1009364021,330 EAST 33 STREET 2-G NYC NY 10016,2.0464608e-07,1.4006337e-06,-1.0987729e-06,property,
1007001032,522 WEST 29 STREET 10C NYC NY 10001,1.2085053e-06,3.4815214e-06,-5.587421e-07,property,
1008681582,425 5 AVENUE 27E NYC NY 10016,1.2938901e-06,-6.524399e-07,-6.4795216e-08,property,
